	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
10234	東京メトロ千代田線 根津駅 3階建 築32年	東京都台東区上野桜木１	東京メトロ千代田線/根津駅 歩10分	ＪＲ山手線/鶯谷駅 歩16分	ＪＲ山手線/日暮里駅 歩13分			4階	6.5万円	3000円	6.5万円/6.5万円/-/-	ワンルーム	16m	https://suumo.jp/chintai/jnc_000040818212/?bc=100123664948
10235	ＪＲ総武線 浅草橋駅 12階建 築13年	東京都台東区蔵前４	ＪＲ総武線/浅草橋駅 歩10分	都営浅草線/蔵前駅 歩1分	都営大江戸線/新御徒町駅 歩12分			4階	6.5万円	3000円	6.5万円/6.5万円/-/-	ワンルーム	16m	https://suumo.jp/chintai/jnc_000041115617/?bc=100124322233
10236	フォルトゥナ秋葉原	東京都千代田区神田和泉町	ＪＲ山手線/秋葉原駅 歩3分	都営新宿線/岩本町駅 歩6分	東京メトロ銀座線/末広町駅 歩10分			4階	6.5万円	3000円	6.5万円/6.5万円/-/-	ワンルーム	16m	https://suumo.jp/chintai/jnc_000039783493/?bc=100123490304
10237	ダイヤモンドレジデンス築地	東京都中央区築地４	東京メトロ日比谷線/築地駅 歩3分	都営浅草線/東銀座駅 歩5分	都営大江戸線/築地市場駅 歩3分			3階	8.8万円	12000円	-/-/-/-	ワンルーム	25.08m	https://suumo.jp/chintai/jnc_000039147027/?bc=100117571257
10238	ロイヤルマンション	東京都台東区西浅草３	つくばエクスプレス/浅草駅 歩3分	東武伊勢崎線/浅草駅 歩10分	東京メトロ銀座線/田原町駅 歩10分			4-6階	12.6万円	9000円	12.6万円/-/-/12.6万円	2LDK	85m	https://suumo.jp/chintai/jnc_000026240591/?bc=100123162065
10239	東京メトロ千代田線 根津駅 3階建 築32年	東京都台東区上野桜木１	東京メトロ千代田線/根津駅 歩10分	ＪＲ山手線/鶯谷駅 歩16分	ＪＲ山手線/日暮里駅 歩13分			8階	9.8万円	-	9.8万円/9.8万円/-/-	ワンルーム	23m	https://suumo.jp/chintai/jnc_000040818212/?bc=100123664948
10240	ＣＫ３２１５－ＳＯＵＴＨ	東京都千代田区神田佐久間町３	ＪＲ山手線/秋葉原駅 歩4分	東京メトロ日比谷線/秋葉原駅 歩3分				8階	10.5万円	-	10.5万円/10.5万円/-/-	ワンルーム	23m	https://suumo.jp/chintai/jnc_000038034220/?bc=100114015312
10241	都営新宿線 市ヶ谷駅 地下1地上14階建 築1年	東京都千代田区三番町	都営新宿線/市ヶ谷駅 歩8分	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩11分			9階	42万円	-	126万円/42万円/-/-	2LDK	111.09m	https://suumo.jp/chintai/jnc_000041171089/?bc=100124558310
10242	ＪＲ山手線 上野駅 5階建 築45年	東京都台東区東上野４	ＪＲ山手線/上野駅 歩5分	ＪＲ山手線/御徒町駅 歩14分	東京メトロ銀座線/稲荷町駅 歩9分			4階	11.3万円	12000円	11.3万円/11.3万円/-/-	1K	30.36m	https://suumo.jp/chintai/jnc_000040760255/?bc=100124246709
10243	ＪＲ山手線 上野駅 5階建 築45年	東京都台東区東上野４	ＪＲ山手線/上野駅 歩5分	ＪＲ山手線/御徒町駅 歩14分	東京メトロ銀座線/稲荷町駅 歩9分			10階	9.5万円	-	19万円/19万円/-/-	ワンルーム	16.4m	https://suumo.jp/chintai/jnc_000040760255/?bc=100124246709
10244	ＪＲ山手線 上野駅 5階建 築45年	東京都台東区東上野４	ＪＲ山手線/上野駅 歩5分	ＪＲ山手線/御徒町駅 歩14分	東京メトロ銀座線/稲荷町駅 歩9分			1階	8.3万円	10000円	8.3万円/8.3万円/-/-	ワンルーム	26.3m	https://suumo.jp/chintai/jnc_000040760255/?bc=100124246709
10245	ＪＲ山手線 上野駅 5階建 築45年	東京都台東区東上野４	ＪＲ山手線/上野駅 歩5分	ＪＲ山手線/御徒町駅 歩14分	東京メトロ銀座線/稲荷町駅 歩9分			1階	6.3万円	-	6.3万円/6.3万円/-/-	ワンルーム	18.6m	https://suumo.jp/chintai/jnc_000040760255/?bc=100124246709
10246	東京メトロ銀座線 浅草駅 10階建 築2年	東京都台東区浅草６	東京メトロ銀座線/浅草駅 歩9分	都営浅草線/浅草駅 歩10分	都営浅草線/本所吾妻橋駅 歩16分			7階	13万円	-	-/13万円/-/-	2DK	39.46m	https://suumo.jp/chintai/jnc_000041147368/?bc=100124459540
10247	東京メトロ日比谷線 南千住駅 6階建 築31年	東京都台東区東浅草２	東京メトロ日比谷線/南千住駅 歩14分	東京メトロ銀座線/浅草駅 歩18分	東京メトロ日比谷線/三ノ輪駅 歩15分			10階	13.5万円	10000円	13.5万円/13.5万円/-/-	ワンルーム	31.38m	https://suumo.jp/chintai/jnc_000040986559/?bc=100124355656
10248	タワーコート秋葉原	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩6分	都営新宿線/岩本町駅 歩3分	ＪＲ総武線快速/馬喰町駅 歩9分			2階	7.7万円	10000円	7.7万円/-/-/-	1K	25.44m	https://suumo.jp/chintai/jnc_000041319609/?bc=100122810171
10249	タワーコート秋葉原	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩6分	都営新宿線/岩本町駅 歩3分	ＪＲ総武線快速/馬喰町駅 歩9分			2階	7.8万円	3000円	7.8万円/7.8万円/-/-	1K	33m	https://suumo.jp/chintai/jnc_000041319609/?bc=100122810171
