	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	立地11	立地12	立地21	立地22	立地31	立地32	敷金	礼金	保証金	敷引,償却	賃料+管理費	敷/礼/保証金	階1	階2	間取りDK	間取りK	間取りL	間取りS
42	カーサストーン	東京都足立区谷中３	東京メトロ千代田線/北綾瀬駅 歩10分	つくばエクスプレス/六町駅 歩18分	つくばエクスプレス/青井駅 歩28分			5階	88000.0	7000	-/-/-/-	3	66.52	東京メトロ千代田線/北綾瀬駅	10	つくばエクスプレス/六町駅	18.0	つくばエクスプレス/青井駅	28.0	0.0	0.0	0.0	-	95000.0	0.0	5		1	0	1	0
43	シャトーメルヴェーユ	東京都足立区伊興本町１	東武伊勢崎線/竹ノ塚駅 歩8分					3階	102000.0	10000	10.2万円/-/-/-	3	65.63	東武伊勢崎線/竹ノ塚駅	8					102000.0	0.0	0.0	-	112000.0	102000.0	3		1	0	1	0
44	ＲｏｓｅｄｅＮｏｅｌ	東京都足立区江北３	日暮里・舎人ライナー/江北駅 歩11分	東武伊勢崎線/西新井駅 バス7分 (バス停)上沼田団地入口（バス） 歩4分	東武伊勢崎線/北千住駅 バス20分 (バス停)上沼田団地入口（バス） 歩4分			1階	93000.0	3000	-/-/-/-	2	55.0	日暮里・舎人ライナー/江北駅	11	東武伊勢崎線/西新井駅 バス7分 (バス停)上沼田団地入口（バス）	4.0	東武伊勢崎線/北千住駅 バス20分 (バス停)上沼田団地入口（バス）	4.0	0.0	0.0	0.0	-	96000.0	0.0	1		1	0	1	0
45	サンジュール	東京都足立区江北７	日暮里・舎人ライナー/西新井大師西駅 歩10分	東武大師線/大師前駅 歩20分	東京メトロ日比谷線/北千住駅 車17分(7.1km)			3階	80000.0	3500	8万円/-/-/-	1	36.0	日暮里・舎人ライナー/西新井大師西駅	10	東武大師線/大師前駅	20.0	東京メトロ日比谷線/北千住駅 車17分(7.1km)		80000.0	0.0	0.0	-	83500.0	80000.0	3		1	0	1	0
46	リヴィエール青井Ａ棟	東京都足立区青井５	つくばエクスプレス/青井駅 歩8分	つくばエクスプレス/六町駅 歩12分	東武伊勢崎線/五反野駅 歩25分			1階	72000.0	3000	-/-/-/-	3	52.17	つくばエクスプレス/青井駅	8	つくばエクスプレス/六町駅	12.0	東武伊勢崎線/五反野駅	25.0	0.0	0.0	0.0	-	75000.0	0.0	1		1	0	0	0
47	東武大師線 大師前駅 2階建 築6年	東京都足立区西新井本町１	東武大師線/大師前駅 歩11分	東武伊勢崎線/西新井駅 歩16分	日暮里・舎人ライナー/江北駅 歩14分			1階	78000.0	2000	7.8万円/7.8万円/-/-	1	42.1	東武大師線/大師前駅	11	東武伊勢崎線/西新井駅	16.0	日暮里・舎人ライナー/江北駅	14.0	78000.0	78000.0	0.0	-	80000.0	156000.0	1		1	0	1	0
48	東武大師線 大師前駅 2階建 築6年	東京都足立区西新井本町１	東武大師線/大師前駅 歩11分	東武伊勢崎線/西新井駅 歩16分	日暮里・舎人ライナー/江北駅 歩14分			1階	78000.0	2000	7.8万円/7.8万円/-/-	1	42.1	東武大師線/大師前駅	11	東武伊勢崎線/西新井駅	16.0	日暮里・舎人ライナー/江北駅	14.0	78000.0	78000.0	0.0	-	80000.0	156000.0	1		1	0	1	0
49	コモド	東京都足立区綾瀬５	ＪＲ常磐線/綾瀬駅 歩11分	つくばエクスプレス/青井駅 歩16分	東京メトロ千代田線/北綾瀬駅 歩15分			1階	76000.0	5000	7.6万円/7.6万円/-/-	1	40.0	ＪＲ常磐線/綾瀬駅	11	つくばエクスプレス/青井駅	16.0	東京メトロ千代田線/北綾瀬駅	15.0	76000.0	76000.0	0.0	-	81000.0	152000.0	1		1	0	1	0
50	ＪＲ常磐線 綾瀬駅 3階建 築2年	東京都足立区綾瀬５	ＪＲ常磐線/綾瀬駅 歩8分	つくばエクスプレス/青井駅 歩14分	東京メトロ千代田線/北綾瀬駅 歩15分			1階	76000.0	5000	7.6万円/7.6万円/-/-	1	40.0	ＪＲ常磐線/綾瀬駅	8	つくばエクスプレス/青井駅	14.0	東京メトロ千代田線/北綾瀬駅	15.0	76000.0	76000.0	0.0	-	81000.0	152000.0	1		1	0	1	0
51	サンライズ朝香	東京都足立区伊興４	東武伊勢崎線/竹ノ塚駅 歩8分	日暮里・舎人ライナー/舎人公園駅 歩25分	日暮里・舎人ライナー/谷在家駅 歩25分			4階	88000.0	10000	8.8万円/-/-/-	2	50.0	東武伊勢崎線/竹ノ塚駅	8	日暮里・舎人ライナー/舎人公園駅	25.0	日暮里・舎人ライナー/谷在家駅	25.0	88000.0	0.0	0.0	-	98000.0	88000.0	4		1	0	1	0
52	アーバングレース	東京都足立区梅島２	東武伊勢崎線/梅島駅 歩4分	東武伊勢崎線/西新井駅 歩10分	東武伊勢崎線/五反野駅 歩21分			2階	83000.0	2500	8.3万円/8.3万円/-/-	1	49.96	東武伊勢崎線/梅島駅	4	東武伊勢崎線/西新井駅	10.0	東武伊勢崎線/五反野駅	21.0	83000.0	83000.0	0.0	-	85500.0	166000.0	2		1	0	1	0
53	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			1階	66000.0	4000	13.2万円/-/-/-	1	31.57	つくばエクスプレス/青井駅	7	東京メトロ千代田線/北綾瀬駅	13.0	つくばエクスプレス/六町駅	12.0	132000.0	0.0	0.0	-	70000.0	132000.0	1		0	1	0	0
54	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	77000.0	4000	15.4万円/-/-/-	1	42.84	つくばエクスプレス/青井駅	7	東京メトロ千代田線/北綾瀬駅	13.0	つくばエクスプレス/六町駅	12.0	154000.0	0.0	0.0	-	81000.0	154000.0	2		1	0	1	0
55	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	79000.0	4000	15.8万円/-/-/-	1	42.84	つくばエクスプレス/青井駅	7	東京メトロ千代田線/北綾瀬駅	13.0	つくばエクスプレス/六町駅	12.0	158000.0	0.0	0.0	-	83000.0	158000.0	2		1	0	1	0
56	サンモール・アイ	東京都足立区青井５	つくばエクスプレス/青井駅 歩7分	東京メトロ千代田線/北綾瀬駅 歩13分	つくばエクスプレス/六町駅 歩12分			2階	79000.0	4000	15.8万円/-/-/-	1	42.84	つくばエクスプレス/青井駅	7	東京メトロ千代田線/北綾瀬駅	13.0	つくばエクスプレス/六町駅	12.0	158000.0	0.0	0.0	-	83000.0	158000.0	2		1	0	1	0
57	ダイアパレス西新井大師前	東京都足立区興野２	日暮里・舎人ライナー/高野駅 歩9分	日暮里・舎人ライナー/扇大橋駅 歩13分	日暮里・舎人ライナー/江北駅 歩14分			2階	90000.0	3000	9万円/9万円/-/-	3	62.8	日暮里・舎人ライナー/高野駅	9	日暮里・舎人ライナー/扇大橋駅	13.0	日暮里・舎人ライナー/江北駅	14.0	90000.0	90000.0	0.0	-	93000.0	180000.0	2		1	0	1	0
58	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				2階	80000.0	10000	8万円/8万円/-/-	1	40.46	東武伊勢崎線/西新井駅	9	東武伊勢崎線/梅島駅	15.0			80000.0	80000.0	0.0	-	90000.0	160000.0	2		1	0	1	0
59	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				5階	86000.0	10000	8.6万円/8.6万円/-/-	1	43.55	東武伊勢崎線/西新井駅	9	東武伊勢崎線/梅島駅	15.0			86000.0	86000.0	0.0	-	96000.0	172000.0	5		1	0	1	0
60	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				3階	122000.0	10000	12.2万円/12.2万円/-/-	2	62.47	東武伊勢崎線/西新井駅	9	東武伊勢崎線/梅島駅	15.0			122000.0	122000.0	0.0	-	132000.0	244000.0	3		1	0	1	0
